IATA2,Name,Country
0A,Amber Air,Lithuania
0B,Blue Air,Romania
0C,IBL Aviation,Mauritius
0D,Darwin Airline,Switzerland
0J,Jetclub,Switzerland
0V,Vietnam Air Services Company (VASCO),Vietnam
1A,Amadeus IT Group,Spain
1B,Abacus International,Singapore
1C,Electronic Data Systems,Switzerland
1D,Radixx,United States
1E,Travelsky Technology,China
1F,INFINI Travel Information,Japan
1G,Galileo International,United States
1H,Siren-Travel,Russia
1I,Novair,Sweden
1K,Southern Cross Distribution,Australia
1L,Open Skies Consultative Commission,United States
1M,JSC Transport Automated Information Systems,Russia
1N,Navitaire,United States
1P,Worldspan,United States
1Q,Sirena,Russia
1R,Hainan Phoenix Information Systems,China
1S,Sabre,United States
1T,Bulgarian Air Charter,Bulgaria
1U,Polyot Sirena,Russia
1Y,Electronic Data Systems,United States
1Z,Sabre Pacific,Australia
2A,Deutsche Bahn,Germany
2C,SNCF,France
2F,Frontier Flying Service,United States
2G,Cargoitalia,Italy
2H,Thalys,Belgium
2J,Air Burkina,Burkina Faso
2K,Aerogal,Ecuador
2L,Helvetic Airways,Switzerland
2M,Moldavian Airlines,Moldova
2N,NextJet,Sweden
2O,Air Salone,Sierra Leone
2P,Air Philippines,Philippines
2Q,Air Cargo Carriers,United States
2R,Via Rail Canada,Canada
2S,Star Equatorial Airlines,Guinea
2T,Haiti Ambassador Airlines,Haiti
2U,Air Guinee Express,Guinea
2V,Amtrak,United States
2W,Welcome Air,Austria
2Z,Chang An Airlines,China
3C,RegionsAir,United States
3J,Zip,Canada
3K,Jetstar Asia Airways,Singapore
3L,Intersky,Austria
3N,Air Urga,Ukraine
3O,Air Arabia Maroc,Morocco
3P,Tiara Air,Aruba
3R,Moskovia Airlines,Russia
3S,Air Guyane Express,French Guyana
3T,Turan Air,Azerbaijan
3U,Sichuan Airlines,China
3V,TNT Airways,Belgium
3W,Euromanx Airways,Austria
3X,Japan Air Commuter,Japan
4A,Air Kiribati,Kiribati
4C,"Aires, Aerovías de Integración Regional, S.A.",Colombia
4D,Air Sinai,Egypt
4F,Air City,Germany
4G,Advance Leasing Company,United States
