IATA3,Name,City,Country,Elevation,Latitude,Longitude
369,Atmautluak Airport,Atmautluak,United States,18,60.866667,-162.273056
04G,Lansdowne Airport,Youngstown,United States,1044,41.1304722,-80.6195833
06A,Moton Field Municipal Airport,Tuskegee,United States,264,32.4605722,-85.6800278
06N,Randall Airport,Middletown,United States,523,41.431912,-74.3915611
09J,Jekyll Island Airport,Jekyll Island,United States,11,31.0744722,-81.4277778
0A9,Elizabethton Municipal Airport,Elizabethton,United States,1593,36.3712222,-82.1734167
0G6,Williams County Airport,Bryan,United States,730,41.4673056,-84.5067778
0G7,Finger Lakes Regional Airport,Seneca Falls,United States,492,42.8835647,-76.7812318
0V4,Brookneal/Campbell County Airport,Brookneal,United States,596,37.14170074,-79.0164032
0W3,Harford County Airport,Churchville,United States,409,39.5668378,-76.2024028
10C,Galt Field Airport,Greenwood,United States,875,42.4028889,-88.3751111
14J,Carl Folsom Airport,Elba,United States,258,31.41,-86.090278
17G,Port Bucyrus-Crawford County Airport,Bucyrus,United States,1003,40.7815556,-82.9748056
19A,Jackson County Airport,Jefferson,United States,951,34.1758638,-83.5615972
19S,Sublette Municipal Airport,Sublette,United States,2908,37.49140167,-100.8300018
1A3,Martin Campbell Field Airport,Copperhead,United States,1789,35.0158056,-84.3468333
1CS,Clow International Airport,Bolingbrook,United States,670,41.6959744,-88.1292306
1G3,Kent State Airport,Kent,United States,1134,41.1513889,-81.4151111
1G4,Grand Canyon West Airport,Peach Springs,United States,4813,35.899904,-113.815674
1H2,Effingham Memorial Airport,Effingham,United States,585,39.07,-88.534
1OH,Fortman Airport,St. Marys,United States,885,40.5553253,-84.3866186
23M,Clarke County Airport,Quitman,United States,320,32.0848999,-88.73889923
24C,Lowell City Airport,Lowell,United States,681,42.95392,-85.3439058
24J,Suwannee County Airport,Live Oak,United States,104,30.300125,-83.0246944
25D,Forest Lake Airport,Forest Lake,United States,925,45.2477456,-92.9943853
26A,Ashland-Lineville Airport,Lineville,United States,1065,33.2841972,-85.8089653
29D,Grove City Airport,Grove City,United States,1371,41.1460278,-80.16775
2A0,Mark Anton Airport,Dayton,United States,718,35.48625,-84.9310833
2A5,Causey Airport,Liberty,United States,723,35.91180038,-79.61759949
2B2,Plum Island Airport,Newburyport,United States,11,42.7953611,-70.8394444
2G9,Somerset County Airport,Somerset,United States,2275,40.0388708,-79.0149951
2H0,Shelby County Airport,Shelbyville,United States,618,39.41040039,-88.84539795
2IS,Airglades Airport,Clewiston,United States,20,26.4411,-81.0306
2J9,Quincy Municipal Airport,Quincy,United States,225,30.5978708,-84.557425
2K7,Neodesha Municipal Airport,Neodesha,United States,841,37.4353981,-95.64610291
2RR,River Ranch Resort Airport,River Ranch,United States,55,27.4676,-81.1224
36U,Heber City Municipal Airport,Heber,United States,5637,40.4818056,-111.4288056
38W,Lynden Airport,Lynden,United States,106,48.9558961,-122.4581183
3AU,Augusta Municipal Airport,Augusta,United States,1328,37.67160034,-97.07790375
3D2,Ephraim-Gibraltar Airport,Ephraim,United States,773,45.1354167,-87.1879444
3G4,Ashland County Airport,Ashland,United States,1206,40.9029722,-82.2556389
3J1,Ridgeland Airport,Ridgeland,United States,79,32.4934167,-80.99175
3W2,Put-in-Bay Airport,Put-in-Bay,United States,595,41.3521,-82.497
40J,Perry-Foley Airport,Perry,United States,44,30.0692778,-83.5805833
41A,Reeves Airport,Tallassee,United States,326,32.515,-85.876111
41N,Braceville Airport,Braceville,United States,900,41.2111675,-80.9692572
47A,Cherokee County Airport,Canton,United States,1219,34.3122175,-84.4221556
49A,Gilmer County Airport,Ellijay,United States,1486,34.6282222,-84.5265833
4A2,Atmautluak Airport,Atmautluak,United States,17,60.866667,-162.273056
4A4,Polk County Airport - Cornelius Moore Field,Cedartown,United States,974,34.0186944,-85.1464722
4A7,Atlanta South Regional Airport/Tara Field,Hampton,United States,874,33.389099,-84.332397
4A9,Isbell Field Airport,Fort Payne,United States,877,34.4736944,-85.7213889
4G0,Pittsburgh-Monroeville Airport,Monroeville,United States,1187,40.4526389,-79.7749167
4G2,Hamburg Inc Airport,Hamburg,United States,751,42.7008925,-78.9147569
4G4,Youngstown Elser Metro Airport,Youngstown,United States,1070,40.9617953,-80.6773264
4I7,Putnam County Airport,Greencastle,United States,842,39.6335556,-86.8138056
4U9,Dell Flight Strip,Dell,United States,6007,44.7356987,-112.7200012
52A,Madison Municipal Airport,Madison,United States,694,33.61209869,-83.46040344
