ID,StartingAirport_IATA3,DestinationAirport_IATA3,Airline_IATA2,Distance,Equipment_aircraft1_EquipmentCode,Equipment_aircraft2_EquipmentCode,Equipment_aircraft3_EquipmentCode,Equipment_aircraft4_EquipmentCode,Equipment_aircraft5_EquipmentCode,Equipment_aircraft6_EquipmentCode,Equipment_aircraft7_EquipmentCode,Equipment_aircraft8_EquipmentCode,Equipment_aircraft9_EquipmentCode
AAEALGAH,AAE,ALG,AH,409,738,ATR,736,,,,,,
AAECDGAH,AAE,CDG,AH,1421,738,,,,,,,,
AAEISTAH,AAE,IST,AH,1870,738,,,,,,,,
AAELYSAH,AAE,LYS,AH,1016,738,,,,,,,,
AAEMRSAH,AAE,MRS,AH,768,738,,,,,,,,
AAEMRSZI,AAE,MRS,ZI,768,319,,,,,,,,
AAEORNAH,AAE,ORN,AH,768,ATR,,,,,,,,
AAEORYAH,AAE,ORY,AH,1395,736,,,,,,,,
AAEORYZI,AAE,ORY,ZI,1395,319,,,,,,,,
AALAGPDY,AAL,AGP,DY,2507,73H,,,,,,,,
AALALCDY,AAL,ALC,DY,2226,73H,,,,,,,,
AALARNSK,AAL,ARN,SK,549,S20,,,,,,,,
AALBCNVY,AAL,BCN,VY,1842,320,,,,,,,,
AALBLLDX,AAL,BLL,DX,156,SF3,,,,,,,,
AALBLLSK,AAL,BLL,SK,156,319,,,,,,,,
AALBLLTK,AAL,BLL,TK,156,319,,,,,,,,
AALCPHDY,AAL,CPH,DY,238,73H,AT7,,,,,,,
AALCPHSK,AAL,CPH,SK,238,320,319,CR2,CR9,321,,,,
AALISTTK,AAL,IST,TK,2247,319,738,,,,,,,
AALLGWDY,AAL,LGW,DY,928,73H,,,,,,,,
AALOSLM3,AAL,OSL,M3,352,SWM,,,,,,,,
AALOSLSK,AAL,OSL,SK,352,73H,73G,,,,,,,
AALPMIDY,AAL,PMI,DY,2017,73H,,,,,,,,
AALSVGDX,AAL,SVG,DX,318,SF3,,,,,,,,
AANCCJIX,AAN,CCJ,IX,2597,738,,,,,,,,
AANPEWNL,AAN,PEW,NL,1882,734,,,,,,,,
AAQDMES7,AAQ,DME,S7,1158,320,,,,,,,,
AAQLEDSU,AAQ,LED,SU,1712,320,319,,,,,,,
AAQSVOSU,AAQ,SVO,SU,1220,320,319,,,,,,,
AARAGPFR,AAR,AGP,FR,2458,738,,,,,,,,
AARCPHSK,AAR,CPH,SK,148,AT7,320,CR2,,,,,,
AARPMIFR,AAR,PMI,FR,1950,738,,,,,,,,
AARSTNFR,AAR,STN,FR,835,738,,,,,,,,
AATURCCZ,AAT,URC,CZ,443,73G,E90,,,,,,,
AATURCGS,AAT,URC,GS,443,E90,,,,,,,,
AAXPOJAD,AAX,POJ,AD,111,AT4,,,,,,,,
AAYSAHFO,AAY,SAH,FO,855,CR7,,,,,,,,
ABADMES7,ABA,DME,S7,3366,320,,,,,,,,
ABAIKTIO,ABA,IKT,IO,884,AN4,,,,,,,,
ABANSKY7,ABA,NSK,Y7,1744,738,,,,,,,,
ABASVOSU,ABA,SVO,SU,3375,320,,,,,,,,
ABDMHDB9,ABD,MHD,B9,1244,M82,,,,,,,,
ABDMHDIR,ABD,MHD,IR,1244,100,M82,,,,,,,
ABDSYZEP,ABD,SYZ,EP,430,100,,,,,,,,
ABDTHRB9,ABD,THR,B9,657,M82,,,,,,,,
ABDTHREP,ABD,THR,EP,657,100,,,,,,,,
ABDTHRIR,ABD,THR,IR,657,M82,100,,,,,,,
ABEATLDL,ABE,ATL,DL,1114,717,,,,,,,,
ABEMYRG4,ABE,MYR,G4,834,M80,,,,,,,,
ABEPGDG4,ABE,PGD,G4,1641,M80,,,,,,,,
ABEPHLAA,ABE,PHL,AA,88,DH3,,,,,,,,
ABEPIEG4,ABE,PIE,G4,1564,M80,320,,,,,,,
ABESFBG4,ABE,SFB,G4,1422,320,M80,,,,,,,
ABIDFWUS,ABI,DFW,US,253,ERD,ER4,,,,,,,
ABJACCE2,ABJ,ACC,E2,418,M82,,,,,,,,
ABJACCEK,ABJ,ACC,EK,418,77W,,,,,,,,
ABJACCHF,ABJ,ACC,HF,418,E70,319,,,,,,,
ABJACCME,ABJ,ACC,ME,418,332,,,,,,,,
ABJACCMS,ABJ,ACC,MS,418,738,,,,,,,,
ABJACCS9,ABJ,ACC,S9,418,143,,,,,,,,
ABJACCSA,ABJ,ACC,SA,418,332,,,,,,,,
ABJALGAH,ABJ,ALG,AH,3570,738,,,,,,,,
ABJBKOHF,ABJ,BKO,HF,921,319,,,,,,,,
ABJBKOL6,ABJ,BKO,L6,921,73G,,,,,,,,
ABJBOY2J,ABJ,BOY,2J,657,CRJ,,,,,,,,
ABJBRUSN,ABJ,BRU,SN,5135,332,333,,,,,,,
ABJCDGAF,ABJ,CDG,AF,4903,772,,,,,,,,
ABJCKYET,ABJ,CKY,ET,1171,DH8,,,,,,,,
ABJCKYHF,ABJ,CKY,HF,1171,E70,,,,,,,,
ABJCMNAT,ABJ,CMN,AT,3148,738,73G,,,,,,,
ABJCOODN,ABJ,COO,DN,709,320,,,,,,,,
ABJCOOET,ABJ,COO,ET,709,73W,752,,,,,,,
ABJCOOL6,ABJ,COO,L6,709,73G,,,,,,,,
ABJDKRDN,ABJ,DKR,DN,1820,320,,,,,,,,
ABJDKRHF,ABJ,DKR,HF,1820,319,,,,,,,,
ABJDKRKQ,ABJ,DKR,KQ,1820,73W,738,,,,,,,
ABJDLAHF,ABJ,DLA,HF,1519,319,,,,,,,,
ABJFNAE2,ABJ,FNA,E2,1089,M82,,,,,,,,
ABJISTTK,ABJ,IST,TK,5134,739,,,,,,,,
ABJLBVHF,ABJ,LBV,HF,1574,319,,,,,,,,
ABJLFWET,ABJ,LFW,ET,582,DH8,,,,,,,,
ABJLFWHF,ABJ,LFW,HF,582,E70,319,,,,,,,
ABJLFWSN,ABJ,LFW,SN,582,333,,,,,,,,
ABJLOSME,ABJ,LOS,ME,815,332,,,,,,,,
ABJLOSQC,ABJ,LOS,QC,815,737,,,,,,,,
ABJLOSW3,ABJ,LOS,W3,815,CR9,,,,,,,,
ABJNBOKQ,ABJ,NBO,KQ,4596,73W,738,,,,,,,
ABJORYSS,ABJ,ORY,SS,4869,333,,,,,,,,
ABJOUA2J,ABJ,OUA,2J,832,E70,CRJ,M87,,,,,,
ABJOUAET,ABJ,OUA,ET,832,752,,,,,,,,
ABJOUAHF,ABJ,OUA,HF,832,E70,,,,,,,,
ABJOUASN,ABJ,OUA,SN,832,333,,,,,,,,
ABJROBE2,ABJ,ROB,E2,720,M82,,,,,,,,
ABJTUNTU,ABJ,TUN,TU,3797,320,,,,,,,,
ABLOTZ8E,ABL,OTZ,8E,207,CNC,,,,,,,,
ABLSHG8E,ABL,SHG,8E,39,CNC,,,,,,,,
ABMCNSQ6,ABM,CNS,Q6,750,DH1,,,,,,,,
ABQATLDL,ABQ,ATL,DL,2038,757,320,,,,,,,
ABQBWIWN,ABQ,BWI,WN,2682,73W,,,,,,,,
ABQCNMLW,ABQ,CNM,LW,371,CNC,,,,,,,,
ABQDALWN,ABQ,DAL,WN,932,73W,73C,733,735,,,,,
ABQDENWN,ABQ,DEN,WN,563,73W,73C,,,,,,,
ABQDFWAA,ABQ,DFW,AA,914,M83,M80,,,,,,,
ABQDFWUS,ABQ,DFW,US,914,M83,M80,,,,,,,
ABQHOUWN,ABQ,HOU,WN,1221,73W,735,73C,,,,,,
ABQIAHUA,ABQ,IAH,UA,1196,320,738,,,,,,,
ABQJFKB6,ABQ,JFK,B6,2931,320,,,,,,,,
ABQLAMLW,ABQ,LAM,LW,98,CNC,,,,,,,,
ABQLASWN,ABQ,LAS,WN,781,73C,73W,733,,,,,,
ABQLAXWN,ABQ,LAX,WN,1088,73C,73W,,,,,,,
ABQMCIWN,ABQ,MCI,WN,1154,73W,73C,,,,,,,
ABQMDWWN,ABQ,MDW,WN,1801,73W,,,,,,,,
ABQMSPDL,ABQ,MSP,DL,1577,320,,,,,,,,
ABQOAKWN,ABQ,OAK,WN,1427,73W,733,73C,,,,,,
ABQORDUS,ABQ,ORD,US,1796,E75,,,,,,,,
ABQPDXWN,ABQ,PDX,WN,1787,73W,,,,,,,,
ABQPHXWN,ABQ,PHX,WN,528,73W,733,73C,,,,,,
ABQSANWN,ABQ,SAN,WN,1009,73C,733,73W,,,,,,
ABQSEAWN,ABQ,SEA,WN,1897,73W,,,,,,,,
ABSASWMS,ABS,ASW,MS,216,E70,,,,,,,,
ABTDMMSV,ABT,DMM,SV,1079,320,,,,,,,,
ABTJEDSV,ABT,JED,SV,300,320,,,,,,,,
ABTRUHSV,ABT,RUH,SV,734,320,,,,,,,,
ABVACCW3,ABV,ACC,W3,902,CR9,,,,,,,,
ABVADDET,ABV,ADD,ET,3462,77L,,,,,,,,
ABVBNIW3,ABV,BNI,W3,351,CR9,73G,,,,,,,
ABVCAIMS,ABV,CAI,MS,3435,738,,,,,,,,
ABVCBQW3,ABV,CBQ,W3,464,73G,,,,,,,,
ABVCDGAF,ABV,CDG,AF,4470,332,,,,,,,,
ABVENUW3,ABV,ENU,W3,284,73G,,,,,,,,
ABVFRALH,ABV,FRA,LH,4564,343,,,,,,,,
ABVIBAW3,ABV,IBA,W3,405,DH4,,,,,,,,
ABVILRW3,ABV,ILR,W3,311,CR9,,,,,,,,
ABVKANW3,ABV,KAN,W3,365,CR9,DH4,,,,,,,
ABVLHRBA,ABV,LHR,BA,4774,777,,,,,,,,
ABVLOSW3,ABV,LOS,W3,511,738,CR9,73G,,,,,,
ABVPHCAF,ABV,PHC,AF,445,332,,,,,,,,
ABVPHCW3,ABV,PHC,W3,445,73G,,,,,,,,
ABVQOWW3,ABV,QOW,W3,398,73G,DH4,,,,,,,
ABVQRWW3,ABV,QRW,W3,457,DH4,,,,,,,,
ABVSKOW3,ABV,SKO,W3,489,CR9,73G,,,,,,,
ABVSSGLH,ABV,SSG,LH,605,343,,,,,,,,
ABVYOLW3,ABV,YOL,W3,568,CR9,73G,,,,,,,
ABXMELZL,ABX,MEL,ZL,259,SF3,,,,,,,,
ABXSYDZL,ABX,SYD,ZL,451,SF3,,,,,,,,
ABZAMSKL,ABZ,AMS,KL,703,737,EMJ,F70,,,,,,
ABZBGOWF,ABZ,BGO,WF,548,DH4,DH3,,,,,,,
ABZBHDBE,ABZ,BHD,BE,367,DH4,,,,,,,,
ABZBHXBE,ABZ,BHX,BE,529,E75,DH4,,,,,,,
ABZBRSBM,ABZ,BRS,BM,648,ER4,,,,,,,,
ABZCDGAF,ABZ,CDG,AF,964,E70,,,,,,,,
ABZCPHSK,ABZ,CPH,SK,929,CR9,CR2,,,,,,,
ABZEBJBM,ABZ,EBJ,BM,687,ER4,,,,,,,,
ABZEMAT3,ABZ,EMA,T3,489,J41,,,,,,,,
ABZFRALH,ABZ,FRA,LH,1065,735,,,,,,,,
ABZHUYT3,ABZ,HUY,T3,420,J41,S20,,,,,,,
ABZKSUBM,ABZ,KSU,BM,858,ER4,,,,,,,,
ABZLBAT3,ABZ,LBA,T3,372,J41,,,,,,,,
ABZLGWU2,ABZ,LGW,U2,686,319,,,,,,,,
ABZLHRBA,ABZ,LHR,BA,647,321,320,319,,,,,,
ABZLHRUN,ABZ,LHR,UN,647,333,,,,,,,,
ABZLTNU2,ABZ,LTN,U2,604,319,320,,,,,,,
ABZMANBE,ABZ,MAN,BE,428,E75,DH4,,,,,,,
ABZMANBM,ABZ,MAN,BM,428,ER4,,,,,,,,
ABZMMET3,ABZ,MME,T3,303,J41,S20,,,,,,,
ABZNCLT3,ABZ,NCL,T3,243,ER4,J41,S20,,,,,,
ABZNWIBM,ABZ,NWI,BM,550,ER4,ER3,,,,,,,
ABZNWIT3,ABZ,NWI,T3,550,S20,,,,,,,,
ABZOSLBM,ABZ,OSL,BM,835,ER3,,,,,,,,
ABZOSLSK,ABZ,OSL,SK,835,736,73W,73H,,,,,,
ABZRIXBT,ABZ,RIX,BT,1573,735,,,,,,,,
ABZSVGSK,ABZ,SVG,SK,497,736,73G,,,,,,,
ABZSVGT3,ABZ,SVG,T3,497,ER3,J41,,,,,,,
ABZSVGWF,ABZ,SVG,WF,497,DH4,,,,,,,,
ABZSYYT3,ABZ,SYY,T3,270,J41,,,,,,,,
ABZWICT3,ABZ,WIC,T3,149,J41,,,,,,,,
ACAMEX4O,ACA,MEX,4O,307,320,,,,,,,,
ACAMEXAM,ACA,MEX,AM,307,737,ERJ,E70,EMJ,E75,,,,
ACAMEXVW,ACA,MEX,VW,307,ATR,,,,,,,,
ACAMTYVB,ACA,MTY,VB,1004,733,,,,,,,,
ACATIJY4,ACA,TIJ,Y4,2464,319,,,,,,,,
ACATLC4O,ACA,TLC,4O,288,320,,,,,,,,
ACCABJE2,ACC,ABJ,E2,418,M82,,,,,,,,
ACCABJEK,ACC,ABJ,EK,418,77W,,,,,,,,
ACCABJHF,ACC,ABJ,HF,418,319,E70,,,,,,,
ACCABJME,ACC,ABJ,ME,418,332,,,,,,,,
ACCABJMS,ACC,ABJ,MS,418,738,,,,,,,,
ACCABJS9,ACC,ABJ,S9,418,143,,,,,,,,
ACCABJSA,ACC,ABJ,SA,418,332,,,,,,,,
ACCABJTK,ACC,ABJ,TK,418,739,,,,,,,,
ACCABVW3,ACC,ABV,W3,902,CR9,,,,,,,,
ACCADDET,ACC,ADD,ET,4312,738,,,,,,,,
ACCAMSKL,ACC,AMS,KL,5213,330,,,,,,,,
ACCBEYME,ACC,BEY,ME,4830,332,,,,,,,,
ACCCAIMS,ACC,CAI,MS,4283,738,,,,,,,,
ACCCMNAT,ACC,CMN,AT,3181,738,73G,,,,,,,
ACCCOOHF,ACC,COO,HF,294,E70,319,,,,,,,
ACCDKR3G,ACC,DKR,3G,2149,319,,,,,,,,
ACCDKRKQ,ACC,DKR,KQ,2149,738,,,,,,,,
ACCDKRW3,ACC,DKR,W3,2149,CR9,,,,,,,,
ACCDXBEK,ACC,DXB,EK,6289,77W,,,,,,,,
ACCFCOAZ,ACC,FCO,AZ,4208,330,,,,,,,,
ACCFNAE2,ACC,FNA,E2,1476,M82,,,,,,,,
ACCFNAKQ,ACC,FNA,KQ,1476,738,,,,,,,,
ACCISTTK,ACC,IST,TK,4874,739,,,,,,,,
ACCJFKDL,ACC,JFK,DL,8221,76W,,,,,,,,
ACCJNBSA,ACC,JNB,SA,4674,332,,,,,,,,
ACCKMS5G,ACC,KMS,5G,200,AT7,,,,,,,,
ACCKMSAW,ACC,KMS,AW,200,ER4,,,,,,,,
ACCKMSO4,ACC,KMS,O4,200,ATR,,,,,,,,
ACCKMSS9,ACC,KMS,S9,200,143,,,,,,,,
ACCLHRBA,ACC,LHR,BA,5100,744,,,,,,,,
ACCLISTP,ACC,LIS,TP,3798,320,,,,,,,,
ACCLOS3G,ACC,LOS,3G,401,319,,,,,,,,
ACCLOSAW,ACC,LOS,AW,401,ER4,,,,,,,,
ACCLOSW3,ACC,LOS,W3,401,73G,738,,,,,,,
ACCLOSWB,ACC,LOS,WB,401,738,,,,,,,,
ACCMADIB,ACC,MAD,IB,3892,319,,,,,,,,
ACCNBOKQ,ACC,NBO,KQ,4191,738,,,,,,,,
ACCNYIO4,ACC,NYI,O4,309,ATR,,,,,,,,
ACCOUA2J,ACC,OUA,2J,765,CRJ,,,,,,,,
ACCROB3G,ACC,ROB,3G,1130,319,,,,,,,,
ACCROBDL,ACC,ROB,DL,1130,76W,,,,,,,,
ACCROBKQ,ACC,ROB,KQ,1130,738,,,,,,,,
ACCROBW3,ACC,ROB,W3,1130,73G,,,,,,,,
ACCTKDO4,ACC,TKD,O4,195,ATR,,,,,,,,
ACCTKDS9,ACC,TKD,S9,195,143,,,,,,,,
ACCTMLAW,ACC,TML,AW,446,ER4,,,,,,,,
ACCTMLO4,ACC,TML,O4,446,ATR,,,,,,,,
ACCTMLS9,ACC,TML,S9,446,143,,,,,,,,
ACCWDHSW,ACC,WDH,SW,3665,319,,,,,,,,
ACEAMSHV,ACE,AMS,HV,3006,73H,,,,,,,,
ACEBCNFR,ACE,BCN,FR,1974,738,,,,,,,,
ACEBCNVY,ACE,BCN,VY,1974,320,,,,,,,,
ACEBFSLS,ACE,BFS,LS,2920,733,,,,,,,,
ACEBFSTC,ACE,BFS,TC,2920,321,,,,,,,,
ACEBGYFR,ACE,BGY,FR,2758,738,,,,,,,,
ACEBHXFR,ACE,BHX,FR,2790,738,,,,,,,,
ACEBHXTC,ACE,BHX,TC,2790,752,,,,,,,,
ACEBHXTO,ACE,BHX,TO,2790,73H,75W,,,,,,,
ACEBHXZB,ACE,BHX,ZB,2790,321,320,,,,,,,
ACEBIOUX,ACE,BIO,UX,1859,738,,,,,,,,
ACEBIOVY,ACE,BIO,VY,1859,320,,,,,,,,
ACEBLKLS,ACE,BLK,LS,2891,73C,,,,,,,,
ACEBLQFR,ACE,BLQ,FR,2796,738,,,,,,,,
ACEBOHFR,ACE,BOH,FR,2620,738,,,,,,,,
ACEBREST,ACE,BRE,ST,3244,319,,,,,,,,
ACEBRSFR,ACE,BRS,FR,2654,738,,,,,,,,
ACEBRSTC,ACE,BRS,TC,2654,320,,,,,,,,
ACEBVAFR,ACE,BVA,FR,2640,738,,,,,,,,
ACECGNAB,ACE,CGN,AB,2990,738,,,,,,,,
ACECRLFR,ACE,CRL,FR,2831,738,,,,,,,,
ACEDUBEI,ACE,DUB,EI,2786,320,,,,,,,,
ACEDUBFR,ACE,DUB,FR,2786,738,,,,,,,,
ACEDUSAB,ACE,DUS,AB,3007,738,321,332,,,,,,
ACEDUSDE,ACE,DUS,DE,3007,757,32S,,,,,,,
ACEEDIFR,ACE,EDI,FR,3110,738,,,,,,,,
ACEEINFR,ACE,EIN,FR,2957,738,,,,,,,,
ACEEMAFR,ACE,EMA,FR,2840,738,,,,,,,,
ACEEMALS,ACE,EMA,LS,2840,73H,,,,,,,,
ACEEMATC,ACE,EMA,TC,2840,321,,,,,,,,
ACEEMATO,ACE,EMA,TO,2840,73H,,,,,,,,
ACEEMAZB,ACE,EMA,ZB,2840,321,,,,,,,,
ACEFKBFR,ACE,FKB,FR,2875,738,,,,,,,,
ACEFRADE,ACE,FRA,DE,2996,757,,,,,,,,
ACEFRAX3,ACE,FRA,X3,2996,73H,,,,,,,,
ACEFUEAB,ACE,FUE,AB,60,321,320,,,,,,,
ACEFUEDE,ACE,FUE,DE,60,757,,,,,,,,
ACEFUEHG,ACE,FUE,HG,60,321,320,,,,,,,
ACEFUEHQ,ACE,FUE,HQ,60,320,,,,,,,,
ACEFUELG,ACE,FUE,LG,60,73W,,,,,,,,
ACEGLALS,ACE,GLA,LS,3081,73H,738,,,,,,,
ACEGLATC,ACE,GLA,TC,3081,752,,,,,,,,
ACEGLATO,ACE,GLA,TO,3081,75W,,,,,,,,
ACEHAJDE,ACE,HAJ,DE,3239,32S,,,,,,,,
ACEHAJX3,ACE,HAJ,X3,3239,73H,,,,,,,,
ACEHAMAB,ACE,HAM,AB,3346,320,,,,,,,,
ACEHAMDE,ACE,HAM,DE,3346,32S,,,,,,,,
ACEHHNFR,ACE,HHN,FR,2923,738,,,,,,,,
ACELBAFR,ACE,LBA,FR,2935,738,,,,,,,,
ACELBALS,ACE,LBA,LS,2935,75W,752,,,,,,,
ACELBAZB,ACE,LBA,ZB,2935,320,,,,,,,,
ACELEJAB,ACE,LEJ,AB,3292,738,,,,,,,,
ACELEJDE,ACE,LEJ,DE,3292,32S,,,,,,,,
ACELGWBA,ACE,LGW,BA,2710,320,,,,,,,,
ACELGWDY,ACE,LGW,DY,2710,73H,,,,,,,,
ACELGWTC,ACE,LGW,TC,2710,752,753,,,,,,,
ACELGWTO,ACE,LGW,TO,2710,73H,75W,,,,,,,
ACELGWU2,ACE,LGW,U2,2710,320,,,,,,,,
ACELGWZB,ACE,LGW,ZB,2710,321,,,,,,,,
ACELPANT,ACE,LPA,NT,207,CR9,AT7,,,,,,,
ACELPAPM,ACE,LPA,PM,207,AT4,,,,,,,,
ACELPLFR,ACE,LPL,FR,2850,738,,,,,,,,
ACELPLU2,ACE,LPL,U2,2850,320,,,,,,,,
ACELTNFR,ACE,LTN,FR,2775,738,,,,,,,,
ACELTNTO,ACE,LTN,TO,2775,75W,73H,,,,,,,
ACELTNZB,ACE,LTN,ZB,2775,321,320,,,,,,,
ACELUXLG,ACE,LUX,LG,2844,73H,,,,,,,,
ACEMADFR,ACE,MAD,FR,1574,738,,,,,,,,
ACEMADUX,ACE,MAD,UX,1574,738,332,,,,,,,
ACEMANFR,ACE,MAN,FR,2867,738,,,,,,,,
ACEMANLS,ACE,MAN,LS,2867,752,75W,73H,,,,,,
ACEMANTC,ACE,MAN,TC,2867,753,321,,,,,,,
ACEMANTO,ACE,MAN,TO,2867,73H,75W,,,,,,,
ACEMANZB,ACE,MAN,ZB,2867,321,320,,,,,,,
ACEMUCAB,ACE,MUC,AB,3058,738,,,,,,,,
ACEMUCDE,ACE,MUC,DE,3058,32S,,,,,,,,
ACENCLLS,ACE,NCL,LS,3054,752,75W,,,,,,,
ACENCLTC,ACE,NCL,TC,3054,752,,,,,,,,
ACENCLTO,ACE,NCL,TO,3054,73H,,,,,,,,
ACENOCFR,ACE,NOC,FR,2803,738,,,,,,,,
ACENRNFR,ACE,NRN,FR,3004,738,,,,,,,,
ACEORKEI,ACE,ORK,EI,2581,320,,,,,,,,
ACEORKFR,ACE,ORK,FR,2581,738,,,,,,,,
