ID,Name,OnPlanet_Id,Latitude,Longitude
1,Xichang Satellite Launch Center,3,28.24646,102.02814
2,Satish Dhawan Space Centre (Sriharikota),3,13.73740,80.23510
3,Uchinoura Space Center,3,31.25186,131.07914
4,Tanegashima Space Center,3,30.39096,130.96813
5,Baikonur Cosmodrome,3,45.95515,63.35028
6,Cape Canaveral Air Force Station,3,28.46675,-80.55852
7,Vandenberg Air Force Base,3,34.77204,-120.60124
8,Kennedy Space Center,3,28.6082,-80.6040
9,Mid-Atlantic Regional Spaceport (MARS),3,37.833378,-75.483284
10,Tranquility Base,4,0.68750,23.43333
11,Jezero Crater,5,18.855,-77.519
12,Columbia Crater,5,-29.8,166.1
